성과사업명,가중논문수,가중특허수,Y_총가중성과
에너지수요관리핵심기술개발(에특),856.7671428571429,3732.0,4588.767142857143
중소기업기술혁신개발,35.03333333333333,4517.916666666667,4552.950000000001
신재생에너지핵심기술개발(R&D),830.6121428571428,3647.4504997347985,4478.062642591942
정보통신방송혁신인재양성,1333.2164285714284,3124.8650360750357,4458.081464646464
선도연구센터지원,2968.1046233766233,1244.5714285714284,4212.676051948052
한국과학기술연구원연구운영비지원,1533.6214285714286,2632.342857142857,4165.964285714286
방송통신산업기술개발(R&D),483.16666666666663,3423.4083333333333,3906.575
전자정보디바이스산업원천기술개발,992.5244805194804,2825.4733333333334,3817.997813852814
한국전자통신연구원연구개발지원(R&D),229.9,3495.6999946666665,3725.5999946666666
에너지수요관리핵심기술개발(에특)(R&D),634.9857142857143,3043.3666556666667,3678.352369952381
기후변화대응기술개발(R&D),1679.7586507936505,1974.595208142857,3654.3538589365075
산학연협력기술개발(R&D),10.416666666666666,3603.4999986666667,3613.916665333333
나노·소재기술개발(R&D),1691.5192424242423,1895.7006551309023,3587.2198975551446
정보통신방송혁신인재양성(R&D),982.0323809523809,2560.221984,3542.2543649523805
기후변화대응기술개발,1729.1670404040403,1781.0236507936506,3510.190691197691
바이오·의료기술개발,1896.6318095238094,1594.4538095238095,3491.085619047619
차세대바이오그린21,1747.2321904761905,1729.5099966666667,3476.742187142857
신재생에너지핵심기술개발,770.0994444444444,2622.14,3392.2394444444444
정보통신기술인력양성(R&D),618.5619047619048,2697.266664333333,3315.828569095238
지역특화산업육성,179.11666666666667,3065.2,3244.3166666666666
글로벌프론티어지원,1263.6078427128427,1979.7205488955487,3243.3283916083915
글로벌프론티어지원(R&D),1264.6120634920633,1948.5532762586079,3213.165339750671
나노소재기술개발,1189.826616161616,1869.4926845376842,3059.3193006993
미래소재디스커버리지원(R&D),1263.0441558441557,1753.4256265845597,3016.4697824287155
중소기업상용화기술개발,9.533333333333333,2829.4166666666665,2838.95
"글로벌중견기업육성프로젝트지원(중기부,산업부)(R&D)",96.5,2628.8333333333335,2725.3333333333335
한국과학기술연구원연구운영비지원(R&D)(주요사업비),782.9174963924963,1926.0613248580087,2708.978821250505
한국생산기술연구원연구운영비지원,615.1833333333333,2080.5833333333335,2695.766666666667
기초과학연구원연구운영비지원(R&D)(주요사업비),2223.0977633477632,470.2499966666667,2693.3477600144297
"글로벌중소중견기업육성프로젝트지원(R&D)(산업부,중기부)",62.599999999999994,2624.083328,2686.683328
기초과학연구원연구운영비지원(주요사업비),2185.2397546897546,448.8857142857143,2634.1254689754687
글로벌프론티어사업,1117.7321428571427,1485.4809523809524,2603.213095238095
창업성장기술개발(R&D),6.333333333333333,2562.5,2568.8333333333335
정보보호핵심원천기술개발(R&D),352.43333333333334,2202.0833333333335,2554.516666666667
고부가가치식품기술개발,743.3095238095239,1785.4166666666667,2528.726190476191
바이오의료기술개발,998.1170923520922,1475.1493883893884,2473.2664807414803
